favorite_count,source,text,in_reply_to_screen_name,is_retweet,created_at,retweet_count,id_str,coordinates
1,Twitter for Android,"b'@lmegale A turma q estava nas ruas ontem, ""lutando"" contra ""cortes"" q n\xc3\xa3o existem, apoiam esse lixo desse ditador.\xe2\x80\xa6 https://t.co/mfVvIrj4Zh'",lmegale,False,Sat Jun 01 10:22:35 +0000 2019,0,1134767188106252288,
2,Twitter for Android,"b'Em muitas capitais brasileiras existem leis que multa o morador que joga lixo nas ruas, era pra ter uma lei dessa a\xe2\x80\xa6 https://t.co/Vb04OFlzIX'",,False,Mon Jun 03 15:21:22 +0000 2019,0,1135567156148625410,
3,Etus Brasil,"b'Na manh\xc3\xa3 deste s\xc3\xa1bado (01), o ac\xc3\xbamulo de lixo nas ruas e na porta das resid\xc3\xaancias j\xc3\xa1 incomodava a popula\xc3\xa7\xc3\xa3o em v\xc3\xa1ri\xe2\x80\xa6 https://t.co/GVbjirZsDd'",,False,Sat Jun 01 17:03:02 +0000 2019,0,1134867967425097728,
30,Twitter for iPhone,b'Acho que a prefeitura de Bel\xc3\xa9m pretende tapar os buracos no asfalto com o lixo acumulado nas ruas',,False,Sun Jun 02 23:01:46 +0000 2019,8,1135320633708097539,
0,Twitter for iPhone,b'@Haddad_Fernando Disseram que n\xc3\xa3o podemos jogar lixo nas ruas...',Haddad_Fernando,False,Sat Jun 01 15:45:11 +0000 2019,0,1134848375558479872,
0,Instagram,"b'Quando se joga lixo nas ruas ou na praia, esse lixo ou \xc3\xa9 levado pela chuva at\xc3\xa9 as bocas de lobo ou \xc3\xa9 levado pelas o\xe2\x80\xa6 https://t.co/ltYnhATFYR'",,False,Mon Jun 03 08:25:18 +0000 2019,0,1135462450705231874,
0,WebresolTweet,b'Lixo nas ruas: novo C\xc3\xb3digo de Limpeza de Macei\xc3\xb3 refor\xc3\xa7a multas e outras puni\xc3\xa7\xc3\xb5es https://t.co/0JQmECauWF',,False,Mon Jun 03 00:17:12 +0000 2019,0,1135339614410039306,
0,Twitter for Android,b'triste a situa\xc3\xa7\xc3\xa3o de Bel\xc3\xa9m com um monte de lixo espalhados nas ruas',,False,Mon Jun 03 16:04:21 +0000 2019,1,1135577973321601024,
83,Twitter Web Client,"b'Como se n\xc3\xa3o bastasse ser uma cidade esburacada, mal iluminada e cheia de pontos de alagamentos quando chove, Bel\xc3\xa9m,\xe2\x80\xa6 https://t.co/8JBKEgVpK2'",,False,Sat Jun 01 21:20:57 +0000 2019,13,1134932873113427968,
0,Twitter for Android,b'@luciano_hang Uhuuuuuu...o povo nas ruas. #foraSTF lixo!!\xf0\x9f\x83\x8f\xf0\x9f\x99\x84\xf0\x9f\x87\xa7\xf0\x9f\x87\xb7\xf0\x9f\x98\x8e',luciano_hang,False,Sat Apr 06 01:41:04 +0000 2019,0,1114342223150186496,
7,Twitter for Android,"b'Eu vejo muita gente tirando sarro da cara de quem trabalha recolhendo lixo nas ruas,mas na minha opini\xc3\xa3o as pessoas\xe2\x80\xa6 https://t.co/2W3FmCJXnE'",,False,Sat Jun 01 20:39:50 +0000 2019,1,1134922527267065857,
0,Twitter for Android,"b'Se eu soubesse dirigir, alugava uma picape, pegava todos os sacoa de lixo que tao acumulados nas ruas e tacava TUDO na frente da prefeitura'",,False,Mon Jun 03 22:46:47 +0000 2019,0,1135679247132110850,
0,Twitter for iPhone,b'Acho engra\xc3\xa7ado as pessoas jogando culpa na prefeitura por causa do lixo nas ruas mas s\xc3\xa3o elas que jogam A PORRA DO\xe2\x80\xa6 https://t.co/nqXJf8HAt1',,False,Sat Apr 06 15:19:47 +0000 2019,0,1114548259845038083,
0,Facebook,b'Bel\xc3\xa9m: Lixo nas ruas e aumento abusivo da tarifa de transporte - Portal do ED https://t.co/Djhmvpl1Ul',,False,Tue Jun 04 03:53:53 +0000 2019,0,1135756533483155456,
4,Twitter Web Client,"b'@DeputadoFederal @DCM_online MAS ELE N\xc3\x83O \xc3\x89 LADR\xc3\x83O NEM CORRUPTO E ANDA A VONTADE NAS RUAS, DEVOLVE OS 10 MILH\xc3\x95ES QUE\xe2\x80\xa6 https://t.co/gkqh4m1gjV'",DeputadoFederal,False,Sun Jun 02 09:31:39 +0000 2019,0,1135116760133382144,
3,Twitter for iPhone,b'@Gipijamuda1903 @GauchaLixo @RavazzolliBruno o maior verme da imprensa deveria apanhar nas ruas de poa para parar de ser t\xc3\xa3o lixo humano',Gipijamuda1903,False,Sun Jun 02 15:34:02 +0000 2019,0,1135207957287833601,
